ID	Out101	Out102	Out103	On101	On102	On103	In101	In102	In103
OTU_952	3.0	1.0	2.0	1.0	4.0	0.0	1.0	1.0	1.0
OTU_145	14.0	10.0	20.0	35.0	47.0	37.0	19.0	27.0	33.0
OTU_322	10.0	10.0	6.0	3.0	3.0	2.0	5.0	6.0	8.0
OTU_19	49.0	31.0	54.0	94.0	128.0	103.0	39.0	71.0	136.0
OTU_33	78.0	71.0	126.0	73.0	92.0	46.0	61.0	70.0	124.0
OTU_203	16.0	8.0	17.0	28.0	34.0	19.0	16.0	18.0	29.0
OTU_1130	2.0	6.0	3.0	3.0	6.0	8.0	5.0	4.0	7.0
OTU_36	53.0	32.0	54.0	53.0	61.0	54.0	27.0	50.0	25.0
OTU_43	87.0	28.0	132.0	51.0	61.0	19.0	30.0	26.0	35.0
OTU_1263	0.0	1.0	0.0	2.0	0.0	1.0	2.0	3.0	5.0
OTU_646	11.0	2.0	7.0	8.0	6.0	11.0	13.0	10.0	7.0
OTU_559	3.0	0.0	0.0	2.0	6.0	2.0	5.0	6.0	2.0
OTU_61	30.0	22.0	39.0	18.0	25.0	21.0	17.0	23.0	32.0
OTU_75	22.0	14.0	20.0	28.0	44.0	19.0	18.0	29.0	27.0
OTU_76	27.0	32.0	41.0	15.0	25.0	18.0	16.0	25.0	30.0
OTU_830	0.0	2.0	4.0	1.0	1.0	1.0	1.0	0.0	0.0
OTU_1284	1.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0
OTU_381	6.0	2.0	3.0	6.0	3.0	3.0	6.0	4.0	6.0
OTU_142	22.0	8.0	24.0	26.0	37.0	28.0	22.0	25.0	41.0
OTU_128	67.0	30.0	89.0	49.0	60.0	30.0	20.0	23.0	23.0
OTU_1048	1.0	0.0	0.0	0.0	2.0	2.0	3.0	3.0	6.0
OTU_208	7.0	5.0	10.0	6.0	3.0	3.0	5.0	1.0	7.0
OTU_182	17.0	6.0	18.0	19.0	24.0	21.0	11.0	13.0	14.0
OTU_641	11.0	2.0	5.0	9.0	14.0	9.0	5.0	4.0	8.0
OTU_1013	2.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	2.0
OTU_239	12.0	7.0	9.0	8.0	10.0	7.0	11.0	10.0	14.0
OTU_515	4.0	2.0	2.0	4.0	0.0	4.0	2.0	5.0	3.0
OTU_637	5.0	8.0	7.0	8.0	6.0	7.0	6.0	5.0	5.0
OTU_679	3.0	2.0	2.0	1.0	7.0	2.0	3.0	8.0	2.0
OTU_528	9.0	2.0	11.0	9.0	15.0	10.0	8.0	7.0	30.0
OTU_327	8.0	3.0	7.0	9.0	8.0	7.0	2.0	2.0	8.0
OTU_1158	0.0	0.0	2.0	3.0	0.0	2.0	3.0	1.0	2.0
OTU_810	21.0	18.0	24.0	17.0	23.0	24.0	15.0	17.0	12.0
OTU_180	16.0	15.0	24.0	14.0	20.0	21.0	16.0	19.0	36.0
OTU_676	2.0	3.0	1.0	2.0	1.0	3.0	2.0	2.0	1.0
OTU_485	9.0	5.0	15.0	12.0	10.0	9.0	5.0	4.0	8.0
OTU_139	15.0	10.0	18.0	15.0	15.0	12.0	8.0	30.0	27.0
OTU_728	6.0	1.0	3.0	2.0	3.0	1.0	4.0	6.0	3.0
OTU_545	13.0	5.0	8.0	11.0	11.0	9.0	3.0	8.0	10.0
OTU_431	2.0	5.0	6.0	6.0	4.0	3.0	3.0	4.0	10.0
OTU_1266	7.0	4.0	11.0	8.0	3.0	6.0	3.0	3.0	11.0
OTU_388	3.0	3.0	4.0	1.0	1.0	4.0	4.0	5.0	8.0
OTU_473	6.0	4.0	9.0	5.0	11.0	8.0	3.0	1.0	3.0
OTU_159	12.0	5.0	30.0	21.0	30.0	13.0	10.0	6.0	9.0
OTU_1484	5.0	3.0	3.0	3.0	3.0	5.0	2.0	3.0	3.0
OTU_240	9.0	5.0	8.0	3.0	2.0	4.0	5.0	5.0	8.0
OTU_707	3.0	2.0	2.0	1.0	2.0	1.0	1.0	10.0	5.0
OTU_213	8.0	11.0	7.0	16.0	22.0	13.0	15.0	10.0	17.0
OTU_44	48.0	37.0	46.0	23.0	37.0	38.0	23.0	51.0	60.0
OTU_80	34.0	31.0	56.0	25.0	18.0	24.0	25.0	35.0	31.0
OTU_295	2.0	1.0	4.0	2.0	5.0	5.0	2.0	5.0	5.0
OTU_1250	4.0	0.0	3.0	1.0	3.0	2.0	2.0	0.0	0.0
OTU_275	2.0	4.0	0.0	9.0	7.0	5.0	5.0	6.0	6.0
OTU_152	109.0	41.0	167.0	49.0	78.0	46.0	34.0	46.0	57.0
OTU_455	1.0	1.0	5.0	1.0	1.0	0.0	2.0	0.0	10.0
OTU_664	2.0	1.0	3.0	4.0	2.0	8.0	2.0	3.0	5.0
OTU_517	7.0	6.0	6.0	6.0	10.0	5.0	6.0	4.0	5.0
OTU_936	0.0	0.0	3.0	1.0	1.0	2.0	1.0	0.0	1.0
OTU_410	10.0	4.0	11.0	9.0	5.0	3.0	5.0	9.0	5.0
OTU_104	5.0	7.0	17.0	4.0	8.0	11.0	12.0	10.0	12.0
OTU_136	23.0	19.0	39.0	27.0	26.0	21.0	13.0	28.0	49.0
